question,CO,PO,BTL
Discuss the linked file allocation method and its disadvantages.,CO4,PO1,L2
Explain directory implementation using linear list and hash table.,CO4,PO1,L2
Describe the access control list ACL mechanism in file systems.,CO4,PO1,L2
Explain the hierarchical directory structure with examples.,CO4,PO1,L2
Discuss the journaling file system concept and its advantages.,CO4,PO1,L2
Describe contiguous file allocation and its advantages.,CO4,PO1,L2
Explain UNIX inode structure with direct and indirect blocks.,CO4,PO1,L2
Describe the concept of mounting a file system.,CO4,PO1,L2
Explain free space management using bitmap method in file system.,CO4,PO1,L2
Describe the virtual file system VFS layer in operating systems.,CO4,PO1,L2
Explain the concept of file system buffering and caching.,CO4,PO1,L2
Apply indexed allocation method to allocate disk blocks for a file.,CO4,PO2,L3
Demonstrate free space management using bitmap method in file system.,CO4,PO2,L3
Show how a file is accessed using inode structure in UNIX.,CO4,PO2,L3
Calculate disk blocks accessed using linked file allocation.,CO4,PO2,L3
Apply contiguous allocation to assign disk space for set of files.,CO4,PO2,L3
Show directory tree structure for a given set of files.,CO4,PO2,L3
Demonstrate linked allocation by tracing file blocks on disk.,CO4,PO2,L3
Calculate number of disk accesses using indexed file allocation.,CO4,PO2,L3
Apply FAT file system to trace the allocation of blocks for a file.,CO4,PO2,L3
Show how UNIX inode handles large files with triple indirect blocks.,CO4,PO2,L3
Apply bitmap to find free disk blocks in file system.,CO4,PO2,L3
Calculate access time for a file using indexed file allocation.,CO4,PO2,L3
Analyze advantages and disadvantages of contiguous file allocation.,CO4,PO2,L4
Compare FAT file system with UNIX inode based file system.,CO4,PO2,L4
Differentiate between absolute and relative path names in file system.,CO4,PO2,L4
Examine performance implications of different directory structures.,CO4,PO2,L4
Analyze external fragmentation problem in contiguous file allocation.,CO4,PO2,L4
Compare journaling and non-journaling file systems for consistency.,CO4,PO2,L4
Differentiate between FAT32 and NTFS file system structures.,CO4,PO2,L4
Examine trade-offs between linked and indexed file allocation.,CO4,PO2,L4
Analyze performance of hash-based directory lookup in file system.,CO4,PO2,L4
Compare block-level and file-level storage management.,CO4,PO2,L4
Differentiate between local and network file systems.,CO4,PO2,L4
Evaluate suitability of different file allocation methods for large files.,CO4,PO2,L5
Assess effectiveness of journaling in ensuring file system consistency.,CO4,PO2,L5
Justify why UNIX uses inode-based allocation over FAT file system.,CO4,PO2,L5
Critique use of contiguous allocation for modern large storage devices.,CO4,PO2,L5
Evaluate impact of directory structure on file system performance.,CO4,PO2,L5
Recommend appropriate file system for a mobile embedded device.,CO4,PO2,L5
Assess suitability of FAT for removable storage devices.,CO4,PO2,L5
Justify selection of ext4 over ext2 for Linux file system.,CO4,PO2,L5
Design a file system structure for a distributed database application.,CO4,PO3,L6
Propose a file protection and access control scheme for multi-user OS.,CO4,PO3,L6
Develop an access control model for a secure multi-user file system.,CO4,PO3,L6
Construct a hierarchical file system for network-attached storage.,CO4,PO3,L6
Create a virtual file system layer for cross-platform OS compatibility.,CO4,PO3,L6
Formulate a file recovery mechanism for a journaling file system.,CO4,PO3,L6
Design an encrypted file system for secure data storage.,CO4,PO3,L6
Develop a distributed file system design for cloud storage.,CO4,PO3,L6
Define deadlock and list the four necessary conditions.,CO5,PO1,L1
State the steps of Banker algorithm for deadlock avoidance.,CO5,PO1,L1
List the methods for handling deadlock in operating systems.,CO5,PO1,L1
Name the components of a resource allocation graph.,CO5,PO1,L1
Define safe state and unsafe state in deadlock avoidance.,CO5,PO1,L1
What is circular wait? State its role in causing deadlock.,CO5,PO1,L1
List resources that can potentially cause deadlock in OS.,CO5,PO1,L1
State the difference between deadlock avoidance and deadlock prevention.,CO5,PO1,L1
Define the need matrix in the Banker algorithm for deadlock.,CO5,PO1,L1
List the four conditions for deadlock occurrence.,CO5,PO1,L1
Explain the resource allocation graph and how it detects deadlock.,CO5,PO1,L2
Describe the Banker algorithm for deadlock avoidance.,CO5,PO1,L2
Discuss methods of deadlock prevention in operating systems.,CO5,PO1,L2
Explain wait-for graph and its use in deadlock detection.,CO5,PO1,L2
Describe how deadlock recovery is performed in OS.,CO5,PO1,L2
Explain the concept of safe sequence in Banker algorithm.,CO5,PO1,L2
Discuss ostrich algorithm approach to handling deadlock.,CO5,PO1,L2
Describe the hold and wait condition and how to eliminate deadlock.,CO5,PO1,L2
Explain mutual exclusion role in deadlock conditions.,CO5,PO1,L2
Describe deadlock recovery using process termination and preemption.,CO5,PO1,L2
Explain the significance of safe state in Banker algorithm.,CO5,PO1,L2
Discuss the no preemption condition in deadlock formation.,CO5,PO1,L2
Apply Banker algorithm to determine if system is in a safe state.,CO5,PO2,L3
Solve deadlock detection problem using resource allocation graph.,CO5,PO2,L3
Demonstrate deadlock prevention using resource ordering technique.,CO5,PO2,L3
Apply safety algorithm to find all safe sequences for given allocation.,CO5,PO2,L3
Compute whether resource request can be granted using Banker algorithm.,CO5,PO2,L3
Use Banker algorithm to check if new resource request leads to safe state.,CO5,PO2,L3
Apply deadlock detection algorithm to identify deadlocked processes.,CO5,PO2,L3
Simulate deadlock recovery by selecting victim process for termination.,CO5,PO2,L3
Apply resource allocation graph algorithm to detect deadlock.,CO5,PO2,L3
Use safety algorithm to verify safe sequence after resource allocation.,CO5,PO2,L3
Apply Banker algorithm to compute maximum need matrix.,CO5,PO2,L3
Simulate deadlock prevention using resource ordering scheme.,CO5,PO2,L3
Analyze conditions under which circular wait occurs in resource allocation.,CO5,PO4,L4
Compare deadlock prevention and deadlock avoidance strategies.,CO5,PO4,L4
Differentiate between deadlock detection and deadlock prevention.,CO5,PO4,L4
Examine trade-off between resource utilization and deadlock safety.,CO5,PO4,L4
Analyze resource allocation graph to identify deadlock in scenario.,CO5,PO4,L4
Examine performance overhead of deadlock detection algorithm.,CO5,PO4,L4
Differentiate between deadlock and livelock in operating systems.,CO5,PO4,L4
Analyze deadlock conditions in a multithreaded Java application.,CO5,PO4,L4
Compare single-instance and multi-instance resource deadlock detection.,CO5,PO4,L4
Analyze how hold-and-wait contributes to deadlock formation.,CO5,PO4,L4
Differentiate safe state and unsafe state in deadlock avoidance.,CO5,PO4,L4
Compare Banker algorithm with resource allocation graph deadlock method.,CO5,PO4,L4
Analyze deadlock in dining philosophers synchronization problem.,CO5,PO4,L4
Differentiate deadlock prevention by preemption and by resource ordering.,CO5,PO4,L4
Examine deadlock conditions in multi-resource OS environment.,CO5,PO4,L4
Analyze circular wait prevention impact on system throughput.,CO5,PO4,L4
Compare deadlock avoidance and deadlock recovery efficiency.,CO5,PO4,L4
Differentiate Banker algorithm and wait-for graph deadlock methods.,CO5,PO4,L4
Examine deadlock handling trade-offs in real-time operating systems.,CO5,PO4,L4
Analyze resource utilization implications of deadlock avoidance.,CO5,PO4,L4
Compare deadlock detection frequency and its performance impact.,CO5,PO4,L4
Differentiate between resource preemption and process kill in deadlock.,CO5,PO4,L4
Examine deadlock in distributed operating systems.,CO5,PO4,L4
Analyze the no preemption condition impact on deadlock formation.,CO5,PO4,L4
Evaluate Banker algorithm practicality and overhead.,CO5,PO4,L5
Assess effectiveness of different deadlock handling strategies.,CO5,PO4,L5
Critique assumptions made in Banker algorithm for deadlock avoidance.,CO5,PO4,L5
Justify why deadlock avoidance is preferred over prevention in databases.,CO5,PO4,L5
Justify when deadlock detection with recovery is better than avoidance.,CO5,PO4,L5
Recommend a deadlock handling strategy for airline reservation system.,CO5,PO4,L5
Assess impact of deadlock on overall system availability.,CO5,PO4,L5
Evaluate cost of implementing Banker algorithm in a production OS.,CO5,PO4,L5
Critique limitations of resource allocation graph for multi-instance.,CO5,PO4,L5
Evaluate deadlock handling techniques in distributed operating systems.,CO5,PO4,L5
Assess suitability of preemption-based deadlock recovery.,CO5,PO4,L5
Justify use of timeout for deadlock resolution in DBMS.,CO5,PO4,L5
Evaluate overhead of maintaining allocation state for Banker algorithm.,CO5,PO4,L5
Critique static resource count assumption in Banker algorithm.,CO5,PO4,L5
Assess deadlock avoidance techniques for real-time OS requirements.,CO5,PO4,L5
Justify why mutual exclusion cannot be eliminated in most systems.,CO5,PO4,L5
Evaluate effectiveness of circular wait prevention by resource ordering.,CO5,PO4,L5
Recommend best deadlock handling strategy for operating system kernel.,CO5,PO4,L5
Assess impact of deadlock recovery by process termination on system.,CO5,PO4,L5
Critique the ostrich algorithm for handling deadlock in practice.,CO5,PO4,L5
Design a deadlock-free resource allocation system for an OS.,CO5,PO3,L6
Develop a deadlock detection and recovery mechanism for a database.,CO5,PO3,L6
Construct a distributed deadlock detection algorithm for cloud platform.,CO5,PO3,L6
Propose a resource allocation protocol that guarantees deadlock freedom.,CO5,PO3,L6
Create a resource management system implementing Banker deadlock avoidance.,CO5,PO3,L6
Design a deadlock prevention framework for a multi-threaded application.,CO5,PO3,L6
Develop a deadlock-free IPC mechanism for distributed OS.,CO5,PO3,L6
Formulate a safe resource allocation graph manager for OS.,CO5,PO3,L6
Define disk scheduling and list the disk scheduling algorithms.,CO6,PO1,L1
State the working principle of Direct Memory Access DMA.,CO6,PO1,L1
List the components of the I/O subsystem in operating systems.,CO6,PO1,L1
Name the types of RAID levels used in storage systems.,CO6,PO1,L1
Define spooling and state its purpose in I/O management.,CO6,PO1,L1
What is buffering in I/O management? List the types.,CO6,PO1,L1
List the steps involved in hardware interrupt handling.,CO6,PO1,L1
State the role of device driver in operating system I/O.,CO6,PO1,L1
Define seek time and rotational latency in disk scheduling.,CO6,PO1,L1
List the types of disk scheduling algorithms used in OS.,CO6,PO1,L1
Explain the SSTF disk scheduling algorithm with an example.,CO6,PO1,L2
Describe the SCAN and C-SCAN disk scheduling algorithms.,CO6,PO1,L2
Explain the concept of DMA and its advantage over programmed I/O.,CO6,PO1,L2
Discuss working of LOOK and C-LOOK disk scheduling algorithms.,CO6,PO1,L2
Describe the structure of RAID and explain RAID 5 configuration.,CO6,PO1,L2
Explain the interrupt-driven I/O mechanism in operating systems.,CO6,PO1,L2
Discuss the role of spooling in printer I/O management.,CO6,PO1,L2
Describe the kernel I/O subsystem and its functions.,CO6,PO1,L2
Explain the FCFS disk scheduling algorithm with example.,CO6,PO1,L2
Discuss the disk structure including cylinders tracks and sectors.,CO6,PO1,L2
Explain the difference between polling and interrupt-driven I/O.,CO6,PO1,L2
Describe RAID 1 and RAID 0 storage configurations.,CO6,PO1,L2
Explain the concept of rotational latency in disk I/O.,CO6,PO1,L2
Describe the working of DMA for data transfer in OS.,CO6,PO1,L2
Discuss the structure of interrupt handler in operating system.,CO6,PO1,L2
Calculate total disk arm movement for FCFS SSTF SCAN given request queue.,CO6,PO2,L3
Apply C-SCAN disk scheduling to given request queue and compute seek time.,CO6,PO2,L3
Demonstrate LOOK disk scheduling algorithm on given request sequence.,CO6,PO2,L3
Compute disk seek time using SSTF disk scheduling algorithm.,CO6,PO2,L3
Apply SCAN disk scheduling algorithm to optimize disk arm movement.,CO6,PO2,L3
Use LOOK disk scheduling to compute total head movement.,CO6,PO2,L3
Calculate disk access time using C-SCAN algorithm for request queue.,CO6,PO2,L3
Apply SSTF disk scheduling algorithm to minimize total seek time.,CO6,PO2,L3
Compute total seek time using FCFS disk scheduling algorithm.,CO6,PO2,L3
Apply C-LOOK disk scheduling and find total disk head movement.,CO6,PO2,L3
Calculate total head movement using SCAN disk scheduling.,CO6,PO2,L3
Apply LOOK disk scheduling algorithm for given disk request queue.,CO6,PO2,L3
Compute average seek time for SSTF disk scheduling algorithm.,CO6,PO2,L3
Analyze performance of FCFS versus SCAN disk scheduling algorithms.,CO6,PO5,L4
Compare RAID 1 RAID 5 and RAID 6 in terms of performance and fault tolerance.,CO6,PO5,L4
Differentiate between polling and interrupt-driven I/O mechanisms.,CO6,PO5,L4
Examine starvation problem in SSTF disk scheduling algorithm.,CO6,PO5,L4
Analyze trade-offs between different RAID storage configurations.,CO6,PO5,L4
Compare I/O performance of polling and DMA based data transfer.,CO6,PO5,L4
Examine fault tolerance mechanisms in RAID 5 configuration.,CO6,PO5,L4
Compare hardware RAID versus software RAID implementations.,CO6,PO5,L4
Analyze I/O bottleneck in database servers using disk scheduling.,CO6,PO5,L4
Differentiate between SCAN and LOOK disk scheduling algorithms.,CO6,PO5,L4
Examine write performance impact across different RAID levels.,CO6,PO5,L4
Compare FCFS and SSTF disk scheduling in terms of throughput.,CO6,PO5,L4
Analyze DMA controller effectiveness in reducing CPU overhead for I/O.,CO6,PO5,L4
Differentiate C-SCAN and C-LOOK disk scheduling algorithms.,CO6,PO5,L4
Examine seek time impact on overall disk I/O performance.,CO6,PO5,L4
Compare reliability of RAID 0 and RAID 1 storage configurations.,CO6,PO5,L4
Analyze performance implications of interrupt-driven versus DMA I/O.,CO6,PO5,L4
Differentiate between buffering and caching in I/O management.,CO6,PO5,L4
Examine disk scheduling trade-offs for real-time OS workloads.,CO6,PO5,L4
Analyze advantages of LOOK over SCAN in disk scheduling.,CO6,PO5,L4
Compare spooling and buffering techniques in I/O management.,CO6,PO5,L4
