question,bloom_level
Describe the resource allocation graph with a cycle but no deadlock.,Understand
Describe the critical section problem in concurrent programming.,Understand
Outline the requirements that must be satisfied to address the critical section problem effectively.,Understand
Calculate the Need matrix.,Apply
Generate the SAFE sequence.,Create
Critically analyze the impact of deadlock detection and recovery mechanisms on system performance and resource utilization.,Analyze
Examine the sequence of steps involved in handling page faults in virtual memory management.,Analyze
Analyze how efficient page fault handling strategies contribute to overall memory management effectiveness.,Analyze
"Calculate the page faults using FIFO, Optimal and LRU methods using 3 and 4 frames.",Apply
Explain the different file access methods in detail.,Understand
Develop a comprehensive plan outlining the integration of ACLs and capabilities.,Create
Explain how ACLs and capabilities enable granular access control and security enforcement within the access matrix framework.,Understand
Evaluate methods for protecting file systems.,Evaluate
"Compare access control lists, file permissions, and encryption mechanisms for their efficacy in safeguarding data integrity and preventing unauthorized access.",Analyze
"Analyze the diverse disk scheduling algorithms used in operating systems, providing examples to illustrate their functioning.",Analyze
"Analyze the Mass Storage Structure overview, detailing its components and organization, emphasizing their roles in data storage and retrieval.",Analyze
Define operating system.,Remember
Explain the dual mode operation of operating system with a neat diagram.,Understand
Explain the concept of virtual machines.,Understand
Explain the responsibilities of OS with respect to process management and file management.,Understand
Explain the set of operating system services.,Understand
Explain different types of system calls.,Understand
Explain the process state diagram.,Understand
Explain different types of multithreading models with a neat diagram.,Understand
Explain Dining Philosopher's problem using monitors.,Understand
Explain various types of criteria for scheduling.,Understand
Explain three types of thread libraries.,Understand
Draw Gantt charts and calculate average waiting time and average turnaround time for non-preemptive SJF scheduling algorithm.,Apply
Draw Gantt charts and calculate average waiting time and average turnaround time for preemptive SJF scheduling algorithm.,Apply
Explain Peterson's solution with its structure.,Understand
Explain the necessary conditions for deadlock occurrence.,Understand
Explain the solutions to external fragmentation.,Understand
Explain paging hardware with TLB with a neat diagram.,Understand
Explain the structure of page table with respect to hierarchical paging.,Understand
Explain the steps involved in handling a page fault with a diagram.,Understand
Explain indexed and linked methods of allocating disk space.,Understand
Explain various file allocation methods.,Understand
Explain different file access methods.,Understand
Explain FCFS disk scheduling with a diagram.,Understand
Explain SSTF disk scheduling with a diagram.,Understand
Explain SCAN disk scheduling with a diagram.,Understand
Explain the several aspects of disk management.,Understand
Distinguish between multiprogramming and multitasking.,Analyze
Distinguish between multiprocessor systems and clustered systems.,Analyze
Define Operating Systems.,Remember
Explain dual mode of operating systems with a neat diagram.,Understand
Explain system calls with an example of handling a user application invoking the open() system call.,Understand
Illustrate with a neat diagram the different states of a process and control block.,Understand
Discuss the implementation of IPC using message passing systems in detail.,Understand
List and explain the services provided by OS for the user and efficient operation of system.,Understand
Explain the different multithreading models.,Understand
Discuss the issues that come with multithreaded programming.,Understand
Explain CPU scheduling criteria.,Understand
"Calculate the average waiting time and the average turnaround time by drawing the Gantt chart using FCFS, SRTF, RR (q = 2ms) and priority algorithms.",Apply
Explain Peterson's solution.,Understand
Explain deadlock prevention in detail.,Understand
Explain Operating System Structure and components.,Understand
Discuss multiprocessor systems in detail.,Understand
Explain in detail the types of system calls provided by a typical operating system.,Understand
Explain the purpose of system calls and discuss the calls related to device management and communications.,Understand
"Explain the concepts of virtual machines, their implementation and benefits.",Understand
List the advantages of virtualization.,Remember
Explain the creation of a virtual machine with architecture diagram.,Understand
Explain the various types of system calls with examples.,Understand
Discuss the functionality of system boot with respect to operating systems.,Understand
Discuss the evolution of virtual machines.,Understand
Explain how virtualization can be implemented in operating systems.,Understand
Discuss computer system overview with a neat sketch.,Understand
Enumerate and explain different operating system structures.,Understand
State the basic functions of OS and DMA.,Remember
"Explain system calls, system programs and OS generation.",Understand
Distinguish between client-server and peer-to-peer models of distributed systems.,Analyze
Describe three general methods for passing parameters to the operating system.,Understand
Describe the differences between symmetric and asymmetric multiprocessing.,Understand
Describe a mechanism for enforcing memory protection.,Understand
State and explain the major activities of an operating system with regard to file management.,Understand
Discuss different multiprocessor organizations with block diagrams.,Understand
Explain multiprocessor and multicore organizations.,Understand
Discuss Direct Memory Access (DMA).,Understand
Explain the various structures of an operating system.,Understand
Describe system calls and system programs with neat sketches.,Understand
Explain cache memory and its mapping.,Understand
Describe the evolution of operating systems.,Understand
Describe operating system operations in detail.,Understand
Discuss the major activities of an operating system with regard to file management.,Understand
"Explain the architecture of simple structure, layered structure, microkernel, modules and hybrid operating systems.",Understand
"Discuss the pros and cons of single processor systems, multicore systems and clustered systems.",Understand
Explain the steps involved in transferring historical information from magnetic tape to CPU through storage devices.,Understand
Explain the importance and need of cache memory with its working principle.,Understand
Explain the function of DMA operation with a neat diagram.,Understand
Discuss various memory hierarchies with a neat block diagram.,Understand
Explain the functionality of system boot with respect to operating systems.,Understand
Explain layered approach and mention its advantages and disadvantages.,Understand
Explain microkernel approach and its benefits.,Understand
Explain graceful degradation and fault tolerance in a multiprocessor system.,Understand
Define virtual machine and explain its working with a neat diagram.,Understand
"Define the essential properties of time-sharing, distributed, real-time and multiprogramming operating systems.",Remember
Explain the different services provided by an operating system.,Understand
Explain multiprocessor systems.,Understand
Describe the difference between symmetric and asymmetric multiprocessing.,Understand
Explain the distinguishing features of real-time systems and multiprocessor systems.,Understand
Explain the functions of memory management.,Understand
Describe the structure of a Process Control Block (PCB).,Understand
"Explain short-term, medium-term and long-term schedulers.",Understand
Explain the Shortest Job First (SJF) scheduling algorithm.,Understand
Explain the Priority scheduling algorithm.,Understand
"Calculate average waiting time and average turnaround time using FCFS, preemptive SJF and Round Robin scheduling.",Apply
Explain the states of a process with a state diagram.,Understand
"Draw Gantt charts and calculate waiting time and turnaround time using FCFS, SJF, Priority and Round Robin scheduling.",Apply
Explain the Round Robin scheduling algorithm.,Understand
Compare user-level threads and kernel-level threads.,Analyze
Explain multithread models.,Understand
Explain non-preemptive and preemptive scheduling.,Understand
Discuss multilevel queue scheduling.,Understand
Discuss multilevel feedback queue scheduling.,Understand
"Explain FCFS, RR, SJF and Priority scheduling algorithms with suitable examples.",Understand
Explain semaphores.,Understand
State the dining philosopher problem and give its solution using semaphores.,Remember
Describe the bounded buffer problem and provide a semaphore-based solution.,Understand
Explain race conditions.,Understand
Explain Peterson’s algorithm.,Understand
Determine whether a given resource allocation state is safe.,Remember
Explain deadlock prevention methods in detail.,Understand
Check whether a system is in a safe state using Banker’s algorithm.,Remember
Explain deadlock detection and recovery.,Understand
Describe Banker’s algorithm for deadlock avoidance.,Understand
Explain the resource allocation graph.,Understand
State the dining philosopher problem and provide a monitor-based solution.,Remember
Explain shared pages.,Understand
Explain hashed page tables.,Understand
Explain segmentation and compare paging with segmentation.,Analyze
Explain swapping and its necessity.,Understand
Explain best-fit and first-fit memory allocation algorithms.,Understand
Explain internal and external fragmentation with a neat diagram.,Understand
What is paging? Explain with a neat diagram.,Understand
Define process scheduling.,Remember
Define semaphore.,Remember
Define virtual memory.,Remember
Define paging.,Remember
Define segmentation.,Remember
Define thrashing.,Remember
Define context switching.,Remember
Define process control block.,Remember
Define critical section.,Remember
List the states of a process.,Remember
List the services provided by an operating system.,Remember
List the functions of memory management.,Remember
List the characteristics of a deadlock.,Remember
List the types of system calls.,Remember
Identify the components of an operating system.,Remember
Identify the conditions required for deadlock.,Remember
State the purpose of virtual memory.,Remember
State the role of a scheduler.,Remember
State the objectives of process synchronization.,Remember
Evaluate the effectiveness of Round Robin scheduling.,Evaluate
Evaluate the suitability of paging over segmentation.,Evaluate
Justify the use of virtual memory in modern systems.,Evaluate
Assess the performance of FCFS scheduling.,Evaluate
Assess the advantages of demand paging.,Evaluate
Evaluate the impact of deadlocks on system performance.,Evaluate
Justify the need for process synchronization.,Evaluate
Evaluate the efficiency of Banker's algorithm.,Evaluate
Assess the scalability of distributed operating systems.,Evaluate
Evaluate various page replacement algorithms.,Evaluate
Critique the limitations of FCFS scheduling.,Evaluate
Recommend a suitable scheduling algorithm for real-time systems.,Evaluate
Assess the effectiveness of semaphores in synchronization.,Evaluate
Evaluate the performance of multithreading.,Evaluate
Justify the use of mutex locks.,Evaluate
Evaluate the security advantages of virtualization.,Evaluate
Assess the benefits of layered operating systems.,Evaluate
Critique different memory allocation techniques.,Evaluate
Recommend an efficient file allocation strategy.,Evaluate
Evaluate the role of TLB in memory management.,Evaluate
Design a CPU scheduling algorithm for cloud systems.,Create
Design a deadlock prevention strategy.,Create
Design a virtual memory management system.,Create
Design a file allocation method for large-scale storage.,Create
Create a synchronization solution for producer-consumer problems.,Create
Develop a process scheduling policy for real-time applications.,Create
Construct a resource allocation graph for the given scenario.,Create
Develop a page replacement algorithm.,Create
Create a memory management scheme for embedded systems.,Create
Design a distributed operating system architecture.,Create
Build a synchronization mechanism using semaphores.,Create
Formulate a strategy to avoid starvation.,Create
Develop a scheduling algorithm for multiprocessor systems.,Create
Design a virtual machine environment.,Create
Construct an efficient storage management framework.,Create
Propose an operating system solution for IoT devices.,Create
Create a deadlock detection mechanism.,Create
Develop a file system structure for high-speed access.,Create
Build a demand paging strategy.,Create
Design a secure operating system architecture.,Create
Analyze the performance of FCFS scheduling.,Analyze
Analyze the causes of process starvation.,Analyze
Analyze the behavior of demand paging.,Analyze
Analyze the impact of context switching.,Analyze
Analyze the causes of deadlock in distributed systems.,Analyze
Compare paging and segmentation.,Analyze
Compare FCFS and Round Robin scheduling.,Analyze
Compare semaphores and mutexes.,Analyze
Differentiate user-level threads and kernel-level threads.,Analyze
Differentiate internal and external fragmentation.,Analyze
Examine the working of virtual memory.,Analyze
Examine the role of page replacement algorithms.,Analyze
Investigate the causes of thrashing.,Analyze
Analyze process synchronization issues.,Analyze
Analyze memory allocation strategies.,Analyze
Compare monolithic and layered operating systems.,Analyze
Differentiate process and thread concepts.,Analyze
Investigate the impact of multiprogramming.,Analyze
Analyze file allocation methods.,Analyze
Examine resource allocation techniques.,Analyze
Apply Banker's algorithm to determine system safety.,Apply
Apply FCFS scheduling to calculate waiting time.,Apply
Apply Round Robin scheduling to compute turnaround time.,Apply
Implement semaphore operations for synchronization.,Apply
Use paging to translate logical addresses.,Apply
Apply demand paging to memory management.,Apply
Calculate page faults using FIFO replacement.,Apply
Compute average turnaround time for a process set.,Apply
Implement a producer-consumer solution.,Apply
Apply SJF scheduling to the given process set.,Apply
Use semaphores to solve the dining philosophers problem.,Apply
Apply mutex locks to synchronize shared resources.,Apply
Calculate effective memory access time.,Apply
Implement a page replacement algorithm.,Apply
Apply segmentation to memory allocation.,Apply
Compute CPU utilization for a scheduling scenario.,Apply
Use Banker's algorithm to avoid deadlock.,Apply
Apply multithreading concepts to a server application.,Apply
Implement process synchronization using monitors.,Apply
Apply resource allocation techniques to prevent deadlock.,Apply
Define an operating system and list its major functions.,Remember
List the different types of operating systems with examples.,Remember
State the functions of an operating system kernel.,Remember
Name the categories of system calls provided by OS.,Remember
What is a virtual machine in operating system context?,Remember
Identify the components of a computer system architecture.,Remember
Mention the services provided by the operating system.,Remember
Write the definition of microkernel architecture in OS.,Remember
List the key features of monolithic kernel design.,Remember
State the purpose of dual mode operation in operating system.,Remember
Name the layers in a layered operating system architecture.,Remember
List the system call types in the POSIX interface.,Remember
Define kernel mode and user mode in operating system.,Remember
What is the bootstrap process in an operating system?,Remember
State the difference between multiprogramming and multitasking OS.,Remember
Explain the layered approach to operating system design.,Understand
Describe the monolithic kernel architecture and its components.,Understand
Discuss the microkernel design advantages over monolithic OS kernel.,Understand
Explain the concept of system calls with POSIX examples.,Understand
Describe the dual mode operation in operating systems.,Understand
Discuss the virtual machine concept in operating systems.,Understand
Explain the difference between kernel space and user space in OS.,Understand
Summarize the evolution from batch to time-sharing operating systems.,Understand
Explain the role of system calls in OS services.,Understand
Describe how the operating system kernel manages hardware resources.,Understand
Discuss the hybrid kernel approach used in modern operating systems.,Understand
Explain the concept of virtual machine monitor in operating systems.,Understand
Describe the structure of a real-time operating system kernel.,Understand
Discuss the modular approach to operating system design.,Understand
Explain system programs and their relationship with OS kernel.,Understand
Apply system calls to create and manage files in Linux kernel.,Apply
Demonstrate use of fork system call for process creation in OS.,Apply
Show how user programs access kernel services via system calls.,Apply
Use system calls to demonstrate file read and write in Unix OS.,Apply
Apply OS architecture concepts to trace a system call execution path.,Apply
Demonstrate kernel privilege level switching via system call trap.,Apply
Show the sequence of kernel operations during a system call in OS.,Apply
Apply dual mode concept to demonstrate OS protection mechanism.,Apply
Implement a simple shell program using system calls in Linux.,Apply
Demonstrate exec system call to load a program in Unix OS.,Apply
Analyze the advantages of microkernel over monolithic OS architecture.,Analyze
Compare the performance of layered versus monolithic OS designs.,Analyze
Differentiate between user mode and kernel mode execution in OS.,Analyze
Examine structural differences between Windows and Linux kernel.,Analyze
Analyze the role of system calls in operating system security.,Analyze
Compare batch processing and time-sharing operating systems.,Analyze
Differentiate between multiprogramming and multiprocessing OS.,Analyze
Examine how virtualization impacts the operating system design.,Analyze
Compare exokernel and microkernel OS architectures.,Analyze
Analyze the trade-offs in layered versus modular OS kernel design.,Analyze
Differentiate between monolithic and modular kernel OS designs.,Analyze
Examine system call overhead impact on OS performance.,Analyze
Analyze the design trade-offs in real-time versus general purpose OS.,Analyze
Compare the virtual machine monitor types in operating systems.,Analyze
Evaluate design trade-offs in monolithic kernel architecture.,Evaluate
Assess suitability of microkernel for embedded real-time systems.,Evaluate
Justify use of virtual machines in cloud computing environments.,Evaluate
Critique limitations of monolithic OS for modern multi-core hardware.,Evaluate
Evaluate security implications of kernel design choices in OS.,Evaluate
Recommend the most appropriate OS architecture for IoT devices.,Evaluate
Assess the impact of system call overhead on overall OS performance.,Evaluate
Justify why modern operating systems use hybrid kernel designs.,Evaluate
Critique the layered OS approach for high performance computing.,Evaluate
Evaluate effectiveness of virtual machine monitors in OS design.,Evaluate
Design an OS architecture for an embedded real-time control system.,Create
Develop a kernel structure for a secure operating system.,Create
Construct a layered OS design for a cloud computing platform.,Create
Propose an OS architecture that balances security and performance.,Create
Create a system call interface specification for a custom OS kernel.,Create
Design a virtual machine monitor for server consolidation.,Create
Develop a microkernel-based OS design for safety-critical systems.,Create
Formulate an OS structure for distributed computing environment.,Create
Define a process and list its different execution states.,Remember
List CPU scheduling algorithms used in operating systems.,Remember
State the purpose of a Process Control Block PCB.,Remember
Name the fields stored in a Process Control Block.,Remember
What is context switching in process management?,Remember
Define a thread and list the differences between process and thread.,Remember
Identify the necessary conditions for the critical section problem.,Remember
List Inter Process Communication IPC mechanisms in OS.,Remember
State the difference between preemptive and non-preemptive scheduling.,Remember
Define semaphore and list its types in process synchronization.,Remember
What is a monitor? List its components for process synchronization.,Remember
List the states in the five-state process model.,Remember
Define race condition in process synchronization.,Remember
State the purpose of mutex in process synchronization.,Remember
Define priority inversion in CPU scheduling.,Remember
Explain Round Robin CPU scheduling algorithm with example.,Understand
Describe working of First Come First Served FCFS CPU scheduling.,Understand
Discuss concept of Shortest Job First SJF CPU scheduling.,Understand
Explain producer consumer problem using semaphore in OS.,Understand
Describe how semaphore solves the critical section problem.,Understand
Explain multithreading concept and its advantages in process management.,Understand
Discuss dining philosophers problem and process synchronization.,Understand
Describe process creation and termination in UNIX OS.,Understand
Explain priority CPU scheduling with preemption and aging technique.,Understand
Describe monitor mechanism for process synchronization.,Understand
Discuss readers writers problem and semaphore solution.,Understand
Explain multilevel feedback queue CPU scheduling algorithm.,Understand
Describe Shortest Remaining Time First SRTF CPU scheduling.,Understand
Explain Peterson solution for critical section in process synchronization.,Understand
Discuss the CPU scheduling criteria and performance metrics.,Understand
Explain spinlock concept in process synchronization.,Understand
Describe concept of thread-level parallelism in CPU scheduling.,Understand
Calculate average waiting time for FCFS CPU scheduling algorithm.,Apply
Apply Round Robin CPU scheduling with quantum 3 and compute waiting time.,Apply
Solve critical section problem using Peterson algorithm.,Apply
Implement semaphore solution for readers writers problem.,Apply
Compute CPU utilization for multilevel queue scheduling.,Apply
Simulate SJF CPU scheduling for given set of processes.,Apply
Apply priority CPU scheduling and draw Gantt chart.,Apply
Calculate turnaround time using SRTF preemptive CPU scheduling.,Apply
Use Round Robin to compute response time for each process.,Apply
Apply FCFS CPU scheduling to determine waiting time per process.,Apply
Calculate average waiting time using Round Robin scheduling.,Apply
Apply preemptive SJF scheduling and compute average turnaround time.,Apply
Simulate process execution using FCFS CPU scheduling algorithm.,Apply
Calculate Gantt chart for priority CPU scheduling with aging.,Apply
Apply semaphore operations to solve bounded buffer problem.,Apply
Analyze performance of FCFS versus SJF CPU scheduling algorithms.,Analyze
Compare Round Robin and Multilevel Queue CPU scheduling algorithms.,Analyze
Differentiate between user level threads and kernel level threads.,Analyze
Examine starvation problem in priority CPU scheduling.,Analyze
Analyze effectiveness of semaphores versus monitors for synchronization.,Analyze
Compare IPC mechanisms in terms of speed and complexity.,Analyze
Examine trade-offs between cooperative and preemptive multitasking.,Analyze
Analyze performance impact of context switching overhead in OS.,Analyze
Differentiate between hard real-time and soft real-time CPU scheduling.,Analyze
Compare efficiency of mutex locks versus counting semaphores.,Analyze
Analyze priority inversion problem in process scheduling.,Analyze
Differentiate between preemptive and non-preemptive CPU scheduling.,Analyze
Examine the convoy effect in FCFS CPU scheduling.,Analyze
Analyze the impact of quantum size on Round Robin scheduling performance.,Analyze
Evaluate which CPU scheduling algorithm is best for time-sharing systems.,Evaluate
Assess impact of context switching overhead on system performance.,Evaluate
Justify use of monitors over semaphores in concurrent programming.,Evaluate
Critique limitations of Peterson solution for mutual exclusion.,Evaluate
Assess suitability of POSIX threads for high-performance parallel computing.,Evaluate
Recommend synchronization mechanism for database transaction management.,Evaluate
Evaluate fairness of Round Robin versus priority CPU scheduling.,Evaluate
Justify use of aging to prevent starvation in priority CPU scheduling.,Evaluate
Assess effectiveness of multilevel feedback queue scheduling.,Evaluate
Evaluate the impact of quantum time on Round Robin CPU performance.,Evaluate
Design a CPU scheduling algorithm for a real-time operating system.,Create
Develop a monitor-based solution to the readers writers problem.,Create
Construct a process synchronization mechanism for a banking application.,Create
Formulate a scheduling policy for a multimedia operating system.,Create
Create a priority-based thread pool architecture for a web server.,Create
Design a fair multi-level CPU scheduler with dynamic priority adjustment.,Create
Develop a semaphore-based solution to the bounded buffer problem.,Create
Propose a thread scheduling framework for a cloud computing platform.,Create
Define paging and list the components of a page table.,Remember
List the different page replacement algorithms.,Remember
State the differences between internal and external memory fragmentation.,Remember
Define virtual memory and mention its advantages.,Remember
Name the fields stored in a page table entry.,Remember
What is a Translation Lookaside Buffer TLB in memory management?,Remember
Define thrashing in virtual memory management.,Remember
List the memory allocation strategies used in operating systems.,Remember
Define segmentation and list the fields in a segment table.,Remember
State the difference between logical address and physical address.,Remember
Define demand paging in virtual memory systems.,Remember
What is a page fault in virtual memory management?,Remember
Explain the working of demand paging with a suitable diagram.,Understand
Describe the LRU Least Recently Used page replacement algorithm.,Understand
Explain segmentation memory management with an example.,Understand
Discuss the concept of thrashing and how to prevent it in virtual memory.,Understand
Describe First Fit Best Fit and Worst Fit memory allocation strategies.,Understand
Explain how TLB improves memory access performance.,Understand
Describe the working of an inverted page table.,Understand
Explain the concept of copy-on-write in virtual memory management.,Understand
Discuss the buddy system memory allocation scheme.,Understand
Explain the working of multilevel paging.,Understand
Describe the working set model for memory management.,Understand
Explain the clock algorithm for page replacement in virtual memory.,Understand
Describe the concept of page sharing in virtual memory management.,Understand
Explain the structure of a page table in 64-bit systems.,Understand
Discuss the concept of memory allocation using best fit strategy.,Understand
Calculate page faults using FIFO page replacement for given reference string.,Apply
Apply LRU page replacement algorithm to reference string and find page faults.,Apply
Compute effective memory access time given a TLB hit ratio.,Apply
Solve memory allocation using best fit strategy for given partitions.,Apply
Demonstrate optimal page replacement algorithm for given reference string.,Apply
Apply paging technique to translate logical addresses to physical.,Apply
Compute the size of page table given logical and physical address space.,Apply
Calculate page faults using clock second chance page replacement.,Apply
Apply second chance page replacement to given page reference string.,Apply
Solve address translation using two-level paging for logical address.,Apply
Use working set model to calculate number of frames needed for process.,Apply
Apply first fit memory allocation for given memory partition table.,Apply
Calculate internal fragmentation for paging with given page size.,Apply
Apply LFU Least Frequently Used page replacement to reference string.,Apply
Compute effective access time with demand paging and TLB.,Apply
Analyze Belady anomaly with example for FIFO page replacement.,Analyze
Compare paging and segmentation in terms of fragmentation and performance.,Analyze
Differentiate between FIFO and LRU page replacement algorithms.,Analyze
Examine effects of page size on TLB performance and memory overhead.,Analyze
Analyze working set model effectiveness in preventing thrashing.,Analyze
Compare fixed allocation and variable allocation page frame strategies.,Analyze
Differentiate between local and global page replacement policies.,Analyze
